Date,Variety,Treatment,Rep,CBC,CBCA,CBD,CBDA,CBDV,CBG,CBGA,CBL,CBN,8_THC,9_THC,THCA,THCV,TotalPotentialTHC,TotalPotentialCBD,TotalPotentialCBC,TotalPotentialCBG
8/7/2020,Maverick,0,1,0.256498,0.151200667,5.226099333,3.582724333,BLOQ,0.133051333,0.086639333,BLOQ,BLOQ,BLOQ,0.332605333,BLOQ,BLOQ,0.332605333,8.368148574,0.389100985,0.209034029
8/7/2020,Maverick,0,2,0.166956,0.149994333,3.215567333,3.525074,BLOQ,0.100596333,0.109984,BLOQ,BLOQ,BLOQ,0.220243,BLOQ,BLOQ,0.220243,6.307057231,0.29850103,0.197052301
8/7/2020,Maverick,0,3,0.199692333,0.108794,3.943335,2.735807667,BLOQ,0.086064333,0.058960333,BLOQ,BLOQ,BLOQ,0.244537667,BLOQ,BLOQ,0.244537667,6.342638324,0.295104671,0.137772546
8/7/2020,Maverick,0,4,0.223017333,0.101800667,4.371489333,2.764948667,BLOQ,0.137469333,0.080473667,BLOQ,BLOQ,BLOQ,0.260610667,BLOQ,BLOQ,0.260610667,6.796349314,0.312296518,0.208044739
8/7/2020,Maverick,50,1,0.133866333,0.134066667,2.742315667,3.128571,BLOQ,0.053809,BLOQ,BLOQ,BLOQ,BLOQ,0.191030333,BLOQ,BLOQ,0.191030333,5.486072434,0.2514428,0.053809
8/7/2020,Maverick,50,2,0.152878,0.153984667,2.948937333,3.554462,BLOQ,0.082380667,0.089617667,BLOQ,BLOQ,BLOQ,0.200575,BLOQ,BLOQ,0.200575,6.066200507,0.287922553,0.16097536
8/7/2020,Maverick,50,3,0.176036333,0.176863333,3.456694667,4.011334,BLOQ,0.072279667,0.072551,BLOQ,BLOQ,BLOQ,0.229384667,BLOQ,BLOQ,0.229384667,6.974634585,0.331145477,0.135906894
8/7/2020,Maverick,50,4,0.2088255,0.2461985,3.875708,5.439471,BLOQ,0.081766,0.097201,BLOQ,BLOQ,BLOQ,0.2915505,0.0837105,BLOQ,0.364964609,8.646124067,0.424741585,0.167011277
8/7/2020,Maverick,100,1,0.201530333,0.163891,3.671768667,3.502852,BLOQ,0.097577333,0.087644667,BLOQ,BLOQ,BLOQ,0.249607333,BLOQ,BLOQ,0.249607333,6.743769871,0.34526274,0.174441706
8/7/2020,Maverick,100,2,0.138942667,0.130552,2.629333333,2.983994667,BLOQ,0.061188,0.057635,BLOQ,BLOQ,BLOQ,0.179053333,BLOQ,BLOQ,0.179053333,5.246296656,0.253436771,0.111733895
8/7/2020,Maverick,100,3,0.199014,0.196388667,3.814861333,4.247613667,BLOQ,0.096546333,0.100486,BLOQ,BLOQ,BLOQ,0.248271667,0.055842333,BLOQ,0.297245393,7.540018519,0.371246861,0.184672555
8/7/2020,Maverick,100,4,0.224046333,0.150135667,3.955437,3.371402,BLOQ,0.123646,0.110744667,BLOQ,BLOQ,BLOQ,0.262587333,BLOQ,BLOQ,0.262587333,6.912156554,0.355715313,0.220769073
8/7/2020,Maverick,150,1,0.288757333,0.178191,5.002218667,3.486660333,BLOQ,0.091969333,0.071993333,BLOQ,BLOQ,BLOQ,0.301105667,BLOQ,BLOQ,0.301105667,8.060019779,0.44503084,0.155107487
8/7/2020,Maverick,150,2,0.139079667,0.126976667,2.584660667,3.030181,BLOQ,0.072634,0.073758333,BLOQ,BLOQ,BLOQ,0.176168667,BLOQ,BLOQ,0.176168667,5.242129404,0.250438203,0.137320058
8/7/2020,Maverick,150,3,0.250499667,0.172801,4.530798667,3.635125333,BLOQ,0.100330667,0.074885,BLOQ,BLOQ,BLOQ,0.276174333,BLOQ,BLOQ,0.276174333,7.718803584,0.402046144,0.166004812
8/7/2020,Maverick,150,4,0.307326333,0.131271,4.767768333,2.387756,BLOQ,0.074209,BLOQ,BLOQ,BLOQ,BLOQ,0.252181,BLOQ,BLOQ,0.252181,6.861830345,0.422451,0.074209
8/7/2020,Maverick,200,1,0.240085333,0.143809,4.490685333,3.121021667,BLOQ,0.078983667,0.053769,BLOQ,BLOQ,BLOQ,0.283996,BLOQ,BLOQ,0.283996,7.227821335,0.366205826,0.12613908
8/7/2020,Maverick,200,2,0.184702667,0.164964,2.857865333,3.002782333,BLOQ,0.07009,0.060704,BLOQ,BLOQ,BLOQ,0.201014,BLOQ,BLOQ,0.201014,5.49130544,0.329376095,0.123327408
8/7/2020,Maverick,200,3,0.166014333,0.106911,3.286322333,2.235627333,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.194487667,BLOQ,BLOQ,0.194487667,5.246967505,0.25977528,0.038
8/7/2020,Maverick,200,4,0.369215,0.175676333,6.183928667,3.419672333,BLOQ,0.145613,0.070043667,BLOQ,BLOQ,BLOQ,0.358380667,BLOQ,BLOQ,0.358380667,9.182981303,0.523283144,0.207041296
8/7/2020,Maverick,250,1,0.242939333,0.117626667,4.866549,2.837274,BLOQ,0.095779333,BLOQ,BLOQ,BLOQ,BLOQ,0.297378,BLOQ,BLOQ,0.297378,7.354838298,0.34609792,0.095779333
8/7/2020,Maverick,250,2,0.2058785,0.1609865,4.03344,3.9176825,BLOQ,0.113991,0.1011635,BLOQ,BLOQ,BLOQ,0.2960895,BLOQ,BLOQ,0.2960895,7.469247553,0.347063661,0.20271139
8/7/2020,Maverick,250,3,0.257648667,0.188593,4.550402667,4.083102333,BLOQ,0.177038667,0.151560667,BLOQ,BLOQ,BLOQ,0.300390667,BLOQ,BLOQ,0.300390667,8.131283413,0.423044728,0.309957371
8/7/2020,Maverick,250,4,0.186641667,0.128606,3.256832667,2.555674,BLOQ,0.057344,BLOQ,BLOQ,BLOQ,BLOQ,0.194969667,BLOQ,BLOQ,0.194969667,5.498158765,0.299429129,0.057344
8/7/2020,NBS,0,2,0.196242667,0.074279667,3.917609333,1.488066667,BLOQ,0.091421333,BLOQ,BLOQ,BLOQ,BLOQ,0.215427,BLOQ,BLOQ,0.215427,5.2226438,0.261385934,0.091421333
8/7/2020,NBS,0,3,0.189996667,BLOQ,3.763559667,1.309869667,BLOQ,0.165440667,0.068048667,BLOQ,BLOQ,BLOQ,0.224311,BLOQ,BLOQ,0.224311,4.912315364,0.189996667,0.225119347
8/7/2020,NBS,0,4,0.193526333,0.079609667,3.698597333,2.010228,BLOQ,0.098728333,0.058934667,BLOQ,BLOQ,BLOQ,0.226069,BLOQ,BLOQ,0.226069,5.461567289,0.263344011,0.150414036
8/7/2020,NBS,50,1,0.219656333,0.086279667,4.240027667,1.994952,BLOQ,0.112968,0.056286667,BLOQ,BLOQ,BLOQ,0.24917,BLOQ,BLOQ,0.24917,5.989600571,0.295323601,0.162331407
8/7/2020,NBS,50,3,0.258152667,0.101590333,5.077049,2.269815,BLOQ,0.136207,0.067686333,BLOQ,BLOQ,BLOQ,0.302451,BLOQ,BLOQ,0.302451,7.067676755,0.347247389,0.195567914
8/7/2020,NBS,50,4,0.180161333,0.086204333,3.596513,1.993566,BLOQ,0.087948,0.051178667,BLOQ,BLOQ,BLOQ,0.210758667,BLOQ,BLOQ,0.210758667,5.344870382,0.255762534,0.132831691
8/7/2020,NBS,100,1,0.267689667,0.088343667,5.259486667,1.789469333,BLOQ,0.088024333,BLOQ,BLOQ,BLOQ,BLOQ,0.269566,BLOQ,BLOQ,0.269566,6.828851272,0.345167062,0.088024333
8/7/2020,NBS,100,2,0.211456333,0.090295667,4.450093667,2.065495,BLOQ,0.070572667,BLOQ,BLOQ,BLOQ,BLOQ,0.247353,BLOQ,BLOQ,0.247353,6.261532782,0.290645633,0.070572667
8/7/2020,NBS,100,3,0.207465333,0.061619667,4.758415,1.419716,BLOQ,0.075261,BLOQ,BLOQ,BLOQ,BLOQ,0.230727333,BLOQ,BLOQ,0.230727333,6.003505932,0.261505781,0.075261
8/7/2020,NBS,100,4,0.211331667,0.081032667,4.564701333,1.749935333,BLOQ,0.092570333,BLOQ,BLOQ,BLOQ,BLOQ,0.230903333,BLOQ,BLOQ,0.230903333,6.099394621,0.282397315,0.092570333
8/7/2020,NBS,150,1,0.161666667,0.102482,3.361629333,2.596603333,BLOQ,0.060752667,BLOQ,BLOQ,BLOQ,BLOQ,0.205324333,BLOQ,BLOQ,0.205324333,5.638850457,0.251543381,0.060752667
8/7/2020,NBS,150,2,0.132153667,0.073465333,2.960561333,1.752820333,BLOQ,0.052771667,BLOQ,BLOQ,BLOQ,BLOQ,0.160860333,BLOQ,BLOQ,0.160860333,4.497784766,0.196582764,0.052771667
8/7/2020,NBS,150,3,0.169072333,0.060289333,3.928829333,1.388045333,BLOQ,0.055908333,BLOQ,BLOQ,BLOQ,BLOQ,0.185145333,BLOQ,BLOQ,0.185145333,5.146145091,0.221946079,0.055908333
8/7/2020,NBS,150,4,0.100659667,0.05,2.378679333,1.295139,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.123208667,BLOQ,BLOQ,0.123208667,3.514516236,0.100659667,0.038
8/7/2020,NBS,200,1,0.153236,0.05,3.400971333,1.230539333,BLOQ,0.057298667,BLOQ,BLOQ,BLOQ,BLOQ,0.171318,BLOQ,BLOQ,0.171318,4.480154329,0.153236,0.057298667
8/7/2020,NBS,200,2,0.174881667,0.051789333,3.836181333,1.681474,BLOQ,0.128359,0.055702667,BLOQ,BLOQ,BLOQ,0.215032667,BLOQ,BLOQ,0.215032667,5.310834031,0.220300912,0.177210239
8/7/2020,NBS,200,3,0.084843,0.05,1.661831333,0.809301667,BLOQ,0.057107667,BLOQ,BLOQ,BLOQ,BLOQ,0.092561667,BLOQ,BLOQ,0.092561667,2.371588895,0.084843,0.057107667
8/7/2020,NBS,200,4,0.181566,0.070883667,3.98644,1.189589,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.181655,BLOQ,BLOQ,0.181655,5.029709553,0.243730976,0.042
8/7/2020,NBS,250,1,0.157672333,0.059402333,3.513619,1.597995667,BLOQ,0.074435333,BLOQ,BLOQ,BLOQ,BLOQ,0.19196,BLOQ,BLOQ,0.19196,4.9150612,0.20976818,0.074435333
8/7/2020,NBS,250,2,0.158060667,0.078398,3.484579667,1.541605,BLOQ,0.051957333,BLOQ,BLOQ,BLOQ,BLOQ,0.174618333,BLOQ,BLOQ,0.174618333,4.836567252,0.226815713,0.051957333
8/7/2020,NBS,250,3,0.156404,0.071617,3.410934333,1.709346333,BLOQ,0.080444667,BLOQ,BLOQ,BLOQ,BLOQ,0.190114,BLOQ,BLOQ,0.190114,4.910031068,0.219212109,0.080444667
8/7/2020,NBS,250,4,0.142486333,0.069603333,3.012836667,1.381129,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.154268667,BLOQ,BLOQ,0.154268667,4.2240868,0.203528457,0.046
9/16/2020,Wife,0,1,0.269951,0.228707667,4.672102667,4.911753,BLOQ,0.083077667,0.086858,BLOQ,BLOQ,BLOQ,0.365222,0.070464333,BLOQ,0.42701922,8.979710048,0.470527624,0.159252133
9/16/2020,Wife,0,2,0.327170667,0.300800667,5.485311333,6.403035667,BLOQ,0.091896333,0.095901667,BLOQ,BLOQ,BLOQ,0.465269333,0.100428667,BLOQ,0.553345274,11.10077361,0.590972851,0.176002095
9/16/2020,Wife,0,3,0.239591333,0.170782333,4.077258,3.925774667,BLOQ,0.068720333,0.065777333,BLOQ,BLOQ,BLOQ,0.321101,0.055122333,BLOQ,0.369443286,7.520162383,0.38936744,0.126407055
9/16/2020,Wife,0,4,0.282282667,0.368182,4.665251333,7.176342667,BLOQ,0.085346667,0.125255333,BLOQ,BLOQ,BLOQ,0.416006667,0.158544333,BLOQ,0.555050047,10.95890385,0.605178281,0.195195594
9/16/2020,Wife,50,1,0.331810333,0.271589667,5.483575,5.576671,BLOQ,0.090250667,0.080369667,BLOQ,BLOQ,BLOQ,0.446578,0.076819333,BLOQ,0.513948555,10.37431547,0.569994471,0.160734864
9/16/2020,Wife,50,2,0.259876667,0.252616667,4.417405,5.293608,BLOQ,0.074047667,0.086398333,BLOQ,BLOQ,BLOQ,0.355880333,0.089330333,BLOQ,0.434223036,9.059899216,0.481421483,0.149819005
9/16/2020,Wife,50,3,0.266044,0.160662333,4.762823667,3.815428,BLOQ,0.087438333,0.067285667,BLOQ,BLOQ,BLOQ,0.35352,BLOQ,BLOQ,0.35352,8.108954023,0.406944866,0.146447863
9/16/2020,Wife,50,4,0.442076667,0.313982667,7.303388,6.840232333,BLOQ,0.133401,0.122795,BLOQ,BLOQ,BLOQ,0.607020333,0.101816667,BLOQ,0.69631355,13.30227176,0.717439465,0.241092215
9/16/2020,Wife,100,1,0.342719,0.241094333,5.613649333,5.185521333,BLOQ,0.089861,0.072675,BLOQ,BLOQ,BLOQ,0.444018333,0.060117,BLOQ,0.496740942,10.16135154,0.55415873,0.153596975
9/16/2020,Wife,100,2,0.277555333,0.260472667,4.753055333,5.361157,BLOQ,0.086366333,0.089378,BLOQ,BLOQ,BLOQ,0.387527667,0.083821,BLOQ,0.461038684,9.454790022,0.505989862,0.164750839
9/16/2020,Wife,100,3,0.296120667,0.128780667,5.400184667,3.153965667,BLOQ,0.104343333,0.064561333,BLOQ,BLOQ,BLOQ,0.371354667,BLOQ,BLOQ,0.371354667,8.166212556,0.409061311,0.160963623
9/16/2020,Wife,100,4,0.403201,0.239618,6.721816,5.240701667,BLOQ,0.114637333,0.087603667,BLOQ,BLOQ,BLOQ,0.514090333,0.062486,BLOQ,0.568890555,11.31791136,0.613345986,0.191465749
9/16/2020,Wife,150,1,0.371950667,0.319658,5.994523,6.789686,BLOQ,0.107885,0.111238333,BLOQ,BLOQ,BLOQ,0.508305,0.110341,BLOQ,0.605074057,11.94907762,0.652290733,0.205441018
9/16/2020,Wife,150,2,0.308698,0.251638333,5.282373,5.519080333,BLOQ,0.099778333,0.105872667,BLOQ,BLOQ,BLOQ,0.434577,0.085662333,BLOQ,0.509702866,10.12260645,0.529384818,0.192628662
9/16/2020,Wife,150,3,0.231942667,0.231897667,3.965762667,5.159747333,BLOQ,0.069909667,0.086543667,BLOQ,BLOQ,BLOQ,0.338071333,0.091050667,BLOQ,0.417922768,8.490861078,0.43531692,0.145808462
9/16/2020,Wife,150,4,0.292355333,0.210435667,5.171486333,4.856678333,BLOQ,0.091314,0.091593333,BLOQ,BLOQ,BLOQ,0.400565667,0.07226,BLOQ,0.463937687,9.430793232,0.476907413,0.171641353
9/16/2020,Wife,200,1,0.279296333,0.212982667,4.779931,4.679751,BLOQ,0.070435333,0.065195333,BLOQ,BLOQ,BLOQ,0.370386,0.066974667,BLOQ,0.429122783,8.884072627,0.466082132,0.127611641
9/16/2020,Wife,200,2,0.287903,0.280927,4.960675333,5.740868667,BLOQ,0.082384667,0.091953,BLOQ,BLOQ,BLOQ,0.403215333,0.094903667,BLOQ,0.486445849,9.995417154,0.534275979,0.163027448
9/16/2020,Wife,200,3,0.355304,0.230829667,6.066965667,5.169376,BLOQ,0.110661667,0.096906333,BLOQ,BLOQ,BLOQ,0.475678667,0.072282,BLOQ,0.539069981,10.60050842,0.557741618,0.195648521
9/16/2020,Wife,200,4,0.418351,0.213080667,7.246929,4.943433,BLOQ,0.152994667,0.108966,BLOQ,BLOQ,BLOQ,0.521164667,0.051868667,BLOQ,0.566653487,11.58231974,0.605222745,0.248557849
9/16/2020,Wife,250,1,0.276524667,0.211839,4.698801,4.845801,BLOQ,0.088696667,0.089232,BLOQ,BLOQ,BLOQ,0.367071,0.073138333,BLOQ,0.431213318,8.948568477,0.46230747,0.166953131
9/16/2020,Wife,250,2,0.341536,0.240961333,5.687060333,5.302887667,BLOQ,0.099436,0.087438667,BLOQ,BLOQ,BLOQ,0.444322,0.064884667,BLOQ,0.501225853,10.33769282,0.552859089,0.176119711
9/16/2020,Wife,250,3,0.313748,0.127746333,5.583437333,2.972758333,BLOQ,0.100714333,0.055702333,BLOQ,BLOQ,BLOQ,0.374059333,BLOQ,BLOQ,0.374059333,8.190546392,0.425781534,0.14956528
9/16/2020,Wife,250,4,0.455151333,0.225561333,7.646682333,4.884674333,BLOQ,0.159342333,0.105549667,BLOQ,BLOQ,BLOQ,0.554171333,BLOQ,BLOQ,0.554171333,11.93054172,0.652968623,0.251909391
