Year,Month,Day,Variety,Treatment,Rep,Unit,TotalFreshWeight_g,C_TDW,TotalDryWeight_g,C_FDW,FlowerDryWeight_g,C_SLDW,StemLeavesDryWeight_g
2020,9,16,Wife,0,1,118,160,0.2875,46,0.282608696,13,0.717391304,33
2020,9,16,Wife,50,1,101,341,0.284457478,97,0.484536082,47,0.515463918,50
2020,9,16,Wife,100,1,115,492,0.384146341,189,0.275132275,52,0.724867725,137
2020,9,16,Wife,150,1,103,2320,0.2875,667,0.406296852,271,0.593703148,396
2020,9,16,Wife,200,1,108,1800,0.283888889,511,0.471624266,241,0.528375734,270
2020,9,16,Wife,250,1,114,800,0.29375,235,0.493617021,116,0.506382979,119
2020,9,16,Wife,0,2,215,154,0.318181818,49,0.551020408,27,0.448979592,22
2020,9,16,Wife,50,2,203,283,0.310954064,88,0.545454545,48,0.454545455,40
2020,9,16,Wife,100,2,214,802,0.33042394,265,0.501886792,133,0.498113208,132
2020,9,16,Wife,150,2,201,1500,0.304666667,457,0.542669584,248,0.457330416,209
2020,9,16,Wife,200,2,211,1820,0.3,546,0.606227106,331,0.393772894,215
2020,9,16,Wife,250,2,216,2400,0.297916667,715,0.537062937,384,0.462937063,331
2020,9,16,Wife,0,3,305,134,0.335820896,45,0.577777778,26,0.422222222,19
2020,9,16,Wife,50,3,318,120,0.333333333,40,0.5,20,0.5,20
2020,9,16,Wife,100,3,306,902,0.319290466,288,0.5,144,0.5,144
2020,9,16,Wife,150,3,309,840,0.316666667,266,0.526315789,140,0.473684211,126
2020,9,16,Wife,200,3,302,860,0.331395349,285,0.473684211,135,0.526315789,150
2020,9,16,Wife,250,3,315,1480,0.309459459,458,0.552401747,253,0.447598253,205
2020,9,16,Wife,0,4,412,125,0.312,39,0.769230769,30,0.230769231,9
2020,9,16,Wife,50,4,401,265,0.316981132,84,0.69047619,58,0.30952381,26
2020,9,16,Wife,100,4,402,583,0.3567753,208,0.490384615,102,0.509615385,106
2020,9,16,Wife,150,4,409,1240,0.317741935,394,0.576142132,227,0.423857868,167
2020,9,16,Wife,200,4,417,1880,0.304787234,573,0.453752182,260,0.546247818,313
2020,9,16,Wife,250,4,418,880,0.310227273,273,0.545787546,149,0.454212454,124
2020,8,7,NBS,0,1,111,20,0.25,5,0.782,3.91,0.218,1.09
2020,8,7,NBS,50,1,113,23,0.260869565,6,0.678333333,4.07,0.321666667,1.93
2020,8,7,NBS,100,1,107,21,0.333333333,7,0.578571429,4.05,0.421428571,2.95
2020,8,7,NBS,150,1,116,100,0.26,26,0.632692308,16.45,0.367307692,9.55
2020,8,7,NBS,200,1,102,103,0.32038835,33,0.593030303,19.57,0.406969697,13.43
2020,8,7,NBS,250,1,112,129,0.271317829,35,0.703142857,24.61,0.296857143,10.39
2020,8,7,NBS,0,2,206,9,0.222222222,2,0.815,1.63,0.185,0.37
2020,8,7,NBS,50,2,209,63,0.26984127,17,0.782941176,13.31,0.217058824,3.69
2020,8,7,NBS,100,2,212,51,0.31372549,16,0.653125,10.45,0.346875,5.55
2020,8,7,NBS,150,2,204,137,0.262773723,36,0.761944444,27.43,0.238055556,8.57
2020,8,7,NBS,200,2,218,13,0.615384615,8,0.77625,6.21,0.22375,1.79
2020,8,7,NBS,250,2,217,39,0.307692308,12,0.674166667,8.09,0.325833333,3.91
2020,8,7,NBS,0,3,301,0.51,0.235294118,0.12,1.75,0.21,-0.75,-0.09
2020,8,7,NBS,50,3,317,12,0.333333333,4,0.5925,2.37,0.4075,1.63
2020,8,7,NBS,100,3,310,70,0.357142857,25,0.724,18.1,0.276,6.9
2020,8,7,NBS,150,3,303,110,0.272727273,30,0.749,22.47,0.251,7.53
2020,8,7,NBS,200,3,308,2,0.285,0.57,1.105263158,0.63,-0.105263158,-0.06
2020,8,7,NBS,250,3,314,150,0.28,42,0.777857143,32.67,0.222142857,9.33
2020,8,7,NBS,0,4,404,2,0.205,0.41,0.585365854,0.24,0.414634146,0.17
2020,8,7,NBS,50,4,413,27,0.296296296,8,0.75,6,0.25,2
2020,8,7,NBS,100,4,415,58,0.344827586,20,0.7,14,0.3,6
2020,8,7,NBS,150,4,411,172,0.255813953,44,0.75,33,0.25,11
2020,8,7,NBS,200,4,405,13,0.307692308,4,0.75,3,0.25,1
2020,8,7,NBS,250,4,406,106,0.311320755,33,0.727272727,24,0.272727273,9
2020,8,7,Maverick,0,1,105,22,0.318181818,7,0.734285714,5.14,0.265714286,1.86
2020,8,7,Maverick,50,1,110,28,0.321428571,9,0.758888889,6.83,0.241111111,2.17
2020,8,7,Maverick,100,1,106,156,0.282051282,44,0.721590909,31.75,0.278409091,12.25
2020,8,7,Maverick,150,1,109,156,0.275641026,43,0.772790698,33.23,0.227209302,9.77
2020,8,7,Maverick,200,1,117,9,0.222222222,2,0.805,1.61,0.195,0.39
2020,8,7,Maverick,250,1,104,164,0.280487805,46,0.724347826,33.32,0.275652174,12.68
2020,8,7,Maverick,0,2,210,89,0.292134831,26,0.853846154,22.2,0.146153846,3.8
2020,8,7,Maverick,50,2,208,111,0.297297297,33,0.70969697,23.42,0.29030303,9.58
2020,8,7,Maverick,100,2,207,194,0.309278351,60,0.870833333,52.25,0.129166667,7.75
2020,8,7,Maverick,150,2,202,149,0.302013423,45,0.679555556,30.58,0.320444444,14.42
2020,8,7,Maverick,200,2,205,182,0.291208791,53,0.717924528,38.05,0.282075472,14.95
2020,8,7,Maverick,250,2,213,166,0.295180723,49,0.783469388,38.39,0.216530612,10.61
2020,8,7,Maverick,0,3,312,6,0.333333333,2,0.5,1,0.5,1
2020,8,7,Maverick,50,3,311,35,0.285714286,10,0.7,7,0.3,3
2020,8,7,Maverick,100,3,316,159,0.264150943,42,0.666666667,28,0.333333333,14
2020,8,7,Maverick,150,3,304,141,0.276595745,39,0.666666667,26,0.333333333,13
2020,8,7,Maverick,200,3,307,28,0.285714286,8,0.625,5,0.375,3
2020,8,7,Maverick,250,3,313,124,0.274193548,34,0.617647059,21,0.382352941,13
2020,8,7,Maverick,0,4,414,3,0.29,0.87,0.24137931,0.21,0.75862069,0.66
2020,8,7,Maverick,50,4,416,96,0.28125,27,0.641111111,17.31,0.358888889,9.69
2020,8,7,Maverick,100,4,410,92,0.260869565,24,0.568333333,13.64,0.431666667,10.36
2020,8,7,Maverick,150,4,408,94,0.287234043,27,0.612962963,16.55,0.387037037,10.45
2020,8,7,Maverick,200,4,403,41,0.463414634,19,0.622105263,11.82,0.377894737,7.18
2020,8,7,Maverick,250,4,407,24,0.25,6,0.56,3.36,0.44,2.64
