Year,Month,Day,Unit,Height_cm,Diameter_mm,DAT
2020,6,24,11,21,3.1,0
2020,6,24,12,37.5,3.2,0
2020,6,24,13,25,3.3,0
2020,6,24,14,30,3.8,0
2020,6,24,15,29.5,4.1,0
2020,6,24,16,24,3.5,0
2020,6,24,21,25,2,0
2020,6,24,22,29,3.8,0
2020,6,24,23,32,3.2,0
2020,6,24,24,30.5,3.8,0
2020,6,24,25,27.5,3.4,0
2020,6,24,26,28,2.5,0
2020,6,24,31,36.5,3.5,0
2020,6,24,32,31,3.3,0
2020,6,24,33,32.5,3.2,0
2020,6,24,34,31,3.6,0
2020,6,24,35,26.5,3.9,0
2020,6,24,36,26,3,0
2020,6,24,41,27,2.9,0
2020,6,24,42,29,3.7,0
2020,6,24,43,28,3.7,0
2020,6,24,44,24,3.1,0
2020,6,24,45,29,4.2,0
2020,6,24,46,28.5,3.3,0
2020,7,1,11,27.5,4,7
2020,7,1,12,53,4.5,7
2020,7,1,13,33.5,4.2,7
2020,7,1,14,42,4.5,7
2020,7,1,15,37.5,4.6,7
2020,7,1,16,30,3.8,7
2020,7,1,21,39,3.6,7
2020,7,1,22,38,4.5,7
2020,7,1,23,29.5,3.7,7
2020,7,1,24,37.5,4.5,7
2020,7,1,25,38.5,4.7,7
2020,7,1,26,41.5,3.1,7
2020,7,1,31,51,4.4,7
2020,7,1,32,44,4.3,7
2020,7,1,33,50,4.6,7
2020,7,1,34,42.5,4.3,7
2020,7,1,35,36.5,4.5,7
2020,7,1,36,38,4,7
2020,7,1,41,36,3.1,7
2020,7,1,42,37,4.4,7
2020,7,1,43,41.5,4.1,7
2020,7,1,44,33,4,7
2020,7,1,45,44,4.5,7
2020,7,1,46,40.5,4.3,7
2020,7,8,11,39,5.1,14
2020,7,8,12,62.5,5.5,14
2020,7,8,13,39,5.5,14
2020,7,8,14,50,4.9,14
2020,7,8,15,43,5.3,14
2020,7,8,16,39.5,4.6,14
2020,7,8,21,52,4.8,14
2020,7,8,22,43.5,5.1,14
2020,7,8,23,40,4.9,14
2020,7,8,24,41,4.9,14
2020,7,8,25,46,5.7,14
2020,7,8,26,52.5,4.1,14
2020,7,8,31,61,5.2,14
2020,7,8,32,52.5,5.1,14
2020,7,8,33,61.5,5.1,14
2020,7,8,34,53,5.1,14
2020,7,8,35,49,4.9,14
2020,7,8,36,51.5,5.6,14
2020,7,8,41,46,4.3,14
2020,7,8,42,45,5.2,14
2020,7,8,43,53.5,4.6,14
2020,7,8,44,41,5.8,14
2020,7,8,45,57.5,5.7,14
2020,7,8,46,47,5.2,14
2020,7,15,11,48.5,6.3,21
2020,7,15,12,72,6.5,21
2020,7,15,13,43,6.4,21
2020,7,15,14,53.5,5.7,21
2020,7,15,15,46.5,5.9,21
2020,7,15,16,49,5.7,21
2020,7,15,21,63,5.8,21
2020,7,15,22,46,5.1,21
2020,7,15,23,47.5,5.8,21
2020,7,15,24,41.5,5.2,21
2020,7,15,25,51,5.8,21
2020,7,15,26,62,5.4,21
2020,7,15,31,69.5,6.1,21
2020,7,15,32,59.5,6.3,21
2020,7,15,33,71.5,5.9,21
2020,7,15,34,61,5.6,21
2020,7,15,35,58.5,5.5,21
2020,7,15,36,59.5,6.5,21
2020,7,15,41,51,5.1,21
2020,7,15,42,49,6.7,21
2020,7,15,43,58,5,21
2020,7,15,44,46,6.7,21
2020,7,15,45,64.5,6.4,21
2020,7,15,46,51.5,5.9,21
2020,7,22,11,51,7.5,28
2020,7,22,12,80.5,7.4,28
2020,7,22,13,45,7.5,28
2020,7,22,14,55.5,6.4,28
2020,7,22,15,49.5,6.5,28
2020,7,22,16,54,6.4,28
2020,7,22,21,74,7.4,28
2020,7,22,22,48,5.7,28
2020,7,22,23,52,7.2,28
2020,7,22,24,42.5,6,28
2020,7,22,25,57.5,7,28
2020,7,22,26,74.5,5.8,28
2020,7,22,31,77.5,7.3,28
2020,7,22,32,66.5,8,28
2020,7,22,33,78.9,6.9,28
2020,7,22,34,65,5.7,28
2020,7,22,35,61,6.7,28
2020,7,22,36,61.5,6.9,28
2020,7,22,41,57.5,6.6,28
2020,7,22,42,51,7.6,28
2020,7,22,43,59.5,5,28
2020,7,22,44,47.5,7.5,28
2020,7,22,45,69,6.8,28
2020,7,22,46,55.5,6.4,28
2020,7,29,11,51.5,10,35
2020,7,29,12,87,10.5,35
2020,7,29,13,46.5,8.6,35
2020,7,29,14,56.5,7.1,35
2020,7,29,15,51.5,8.1,35
2020,7,29,16,56,8.2,35
2020,7,29,21,80,8.8,35
2020,7,29,22,49.5,6.1,35
2020,7,29,23,54.5,8.7,35
2020,7,29,24,43.5,6.1,35
2020,7,29,25,62,8.4,35
2020,7,29,26,83,7.4,35
2020,7,29,31,82,8.6,35
2020,7,29,32,72.5,9.4,35
2020,7,29,33,82,7.1,35
2020,7,29,34,66.5,6,35
2020,7,29,35,62.5,6.3,35
2020,7,29,36,63,7.2,35
2020,7,29,41,62,7.9,35
2020,7,29,42,53,8.2,35
2020,7,29,43,60,4.6,35
2020,7,29,44,49,8.5,35
2020,7,29,45,71,7.1,35
2020,7,29,46,58,7.7,35
2020,8,5,11,52,10.7,42
2020,8,5,12,89,10.7,42
2020,8,5,13,47.5,9.5,42
2020,8,5,14,57,7.7,42
2020,8,5,15,53.5,8.7,42
2020,8,5,16,57,7.8,42
2020,8,5,21,82.5,9.8,42
2020,8,5,22,50.5,7.2,42
2020,8,5,23,55,8.1,42
2020,8,5,24,43,6,42
2020,8,5,25,63,10.5,42
2020,8,5,26,86,8.2,42
2020,8,5,31,83.5,10.3,42
2020,8,5,32,74.5,10.6,42
2020,8,5,33,82.5,8.3,42
2020,8,5,34,67.5,6.1,42
2020,8,5,35,63,6.8,42
2020,8,5,36,63,7.9,42
2020,8,5,41,63,8.5,42
2020,8,5,42,54,8.2,42
2020,8,5,43,60.5,5.1,42
2020,8,5,44,49.5,8.6,42
2020,8,5,45,72.5,7.8,42
2020,8,5,46,59.5,8.2,42
2020,8,12,11,52.5,11.1,49
2020,8,12,12,90,12,49
2020,8,12,13,48.5,9.6,49
2020,8,12,14,58.5,8.5,49
2020,8,12,15,55,9.4,49
2020,8,12,16,57,8.1,49
2020,8,12,21,84,11,49
2020,8,12,22,51,7,49
2020,8,12,23,57,9.2,49
2020,8,12,24,44,5.6,49
2020,8,12,25,63.5,10.8,49
2020,8,12,26,87.5,8.3,49
2020,8,12,31,84.5,9.1,49
2020,8,12,32,75,11,49
2020,8,12,33,84,8.9,49
2020,8,12,34,68,8.8,49
2020,8,12,35,63,6.2,49
2020,8,12,36,63,8.2,49
2020,8,12,41,63.5,8.7,49
2020,8,12,42,54.5,8.3,49
2020,8,12,43,60.5,5,49
2020,8,12,44,50.5,10.1,49
2020,8,12,45,74.5,7.7,49
2020,8,12,46,60.5,8.1,49
2020,8,19,11,53,10.6,56
2020,8,19,12,91,11.8,56
2020,8,19,13,49,9.5,56
2020,8,19,14,59,8.2,56
2020,8,19,15,56,8.8,56
2020,8,19,16,58,7.8,56
2020,8,19,21,85,10.4,56
2020,8,19,22,51,6.9,56
2020,8,19,23,58,8.4,56
2020,8,19,24,44,5.8,56
2020,8,19,25,64,10.8,56
2020,8,19,26,88.5,8,56
2020,8,19,31,85.5,9.2,56
2020,8,19,32,76,11,56
2020,8,19,33,84,8.8,56
2020,8,19,34,69,6.5,56
2020,8,19,35,64,6,56
2020,8,19,36,64,8.9,56
2020,8,19,41,64.5,9.7,56
2020,8,19,42,51.5,8.1,56
2020,8,19,43,60,4.8,56
2020,8,19,44,51,9.4,56
2020,8,19,45,75,7.5,56
2020,8,19,46,60,8.5,56
2020,8,26,11,53.5,10.5,63
2020,8,26,12,92,11.7,63
2020,8,26,13,50.5,9.5,63
2020,8,26,14,59.5,7.8,63
2020,8,26,15,56.5,9.9,63
2020,8,26,16,58,8.2,63
2020,8,26,21,85,10.5,63
2020,8,26,22,52,7.1,63
2020,8,26,23,57.5,8.5,63
2020,8,26,24,44.5,6,63
2020,8,26,25,65,11,63
2020,8,26,26,89,8.4,63
2020,8,26,31,86,9.6,63
2020,8,26,32,76.5,11.2,63
2020,8,26,33,85,9.1,63
2020,8,26,34,70.5,6.3,63
2020,8,26,35,64,6.1,63
2020,8,26,36,64,8.1,63
2020,8,26,41,65,10,63
2020,8,26,42,52.5,8.3,63
2020,8,26,43,60.5,5,63
2020,8,26,44,51.5,9.3,63
2020,8,26,45,76.5,7.5,63
2020,8,26,46,60,8.4,63
